id,phase,phase_name,category,module,requirement,agent,ui,backend,database,api,tool,dependency,external_dependency,test,acceptance_criteria,status
R0055,3,Model & Provider Infrastructure,INTEGRATION,Provider Adapters,OpenRouter adapter,,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0056,3,Model & Provider Infrastructure,INTEGRATION,Provider Adapters,Azure-compatible adapter,,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0057,3,Model & Provider Infrastructure,INTEGRATION,Provider Adapters,Local/self-hosted adapter,,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0058,4,Model Router & Multi-Model Council,AI,Router/Council,Task Classifier,yes,,yes,,yes,,Phase 3,,not tested,See phase acceptance gate in master spec,MINIMAL
R0059,4,Model Router & Multi-Model Council,AI,Router/Council,Model Router,yes,,yes,,yes,,Phase 3,,not tested,See phase acceptance gate in master spec,MINIMAL
R0060,4,Model Router & Multi-Model Council,AI,Router/Council,Model Ensemble,yes,,yes,,yes,,Phase 3,,not tested,See phase acceptance gate in master spec,MINIMAL
R0061,4,Model Router & Multi-Model Council,AI,Router/Council,Critic Agent,yes,,yes,,yes,,Phase 3,,not tested,See phase acceptance gate in master spec,MINIMAL
R0062,4,Model Router & Multi-Model Council,AI,Router/Council,Verification Agent,yes,,yes,,yes,,Phase 3,,not tested,See phase acceptance gate in master spec,MINIMAL
R0063,4,Model Router & Multi-Model Council,AI,Router/Council,Synthesis Agent,yes,,yes,,yes,,Phase 3,,not tested,See phase acceptance gate in master spec,MINIMAL
R0064,4,Model Router & Multi-Model Council,AI,Router/Council,Supreme Mode,yes,,yes,,yes,,Phase 3,,not tested,See phase acceptance gate in master spec,MINIMAL
R0065,4,Model Router & Multi-Model Council,AI,Router/Council,Autonomous Mode,yes,,yes,,yes,,Phase 3,,not tested,See phase acceptance gate in master spec,MINIMAL
R0066,5,Memory & Knowledge System,MEMORY,Memory Types,User Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0067,5,Memory & Knowledge System,MEMORY,Memory Types,Conversation Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0068,5,Memory & Knowledge System,MEMORY,Memory Types,Project Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0069,5,Memory & Knowledge System,MEMORY,Memory Types,Company Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0070,5,Memory & Knowledge System,MEMORY,Memory Types,Customer Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0071,5,Memory & Knowledge System,MEMORY,Memory Types,Product Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0072,5,Memory & Knowledge System,MEMORY,Memory Types,Competitor Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0073,5,Memory & Knowledge System,MEMORY,Memory Types,Research Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0074,5,Memory & Knowledge System,MEMORY,Memory Types,Decision Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0075,5,Memory & Knowledge System,MEMORY,Memory Types,Creative Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0076,5,Memory & Knowledge System,MEMORY,Memory Types,Codebase Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0077,5,Memory & Knowledge System,MEMORY,Memory Types,Agent Memory,yes,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0078,5,Memory & Knowledge System,MEMORY,Memory Types,Preference Memory,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0079,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Vector Search,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0080,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Keyword Search,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0081,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Semantic Retrieval,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0082,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Metadata Filtering,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0083,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Reranking,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0084,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Knowledge Graph,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0085,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Memory Importance,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0086,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Memory Recency,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0087,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Memory Conflict Detection,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0088,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Memory Correction,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0089,5,Memory & Knowledge System,MEMORY,Retrieval Infra,Memory Deletion,,,yes,yes,,,Phase 4,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0090,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,PDF,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0091,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,DOCX,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0092,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,XLSX,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0093,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,CSV,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0094,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,PPTX,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0095,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,TXT,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0096,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,Images,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0097,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,Audio,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0098,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,Video,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0099,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,Screenshots,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0100,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,Web Links,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0101,6,"File, Document & Multimodal Intelligence",CORE,File Format Support,Repositories,,,yes,,,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0102,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Document Parser,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0103,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,OCR,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0104,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Image Understanding,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0105,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Table Extraction,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0106,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Audio Transcription,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0107,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Video Transcription,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0108,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Speaker Segmentation,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0109,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Text Detection,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0110,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Chart Understanding,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0111,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Document Comparison,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0112,6,"File, Document & Multimodal Intelligence",AI,Extraction Pipeline,Multi-document Analysis,yes,,yes,,yes,,Phase 5,OCR/transcription provider (none chosen),not tested,See phase acceptance gate in master spec,NOT STARTED
R0113,7,"Internet Search, Browser & Deep Research",RESEARCH,Search Infra,Web Search,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0114,7,"Internet Search, Browser & Deep Research",RESEARCH,Search Infra,News Search,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0115,7,"Internet Search, Browser & Deep Research",RESEARCH,Search Infra,Image Search,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0116,7,"Internet Search, Browser & Deep Research",RESEARCH,Search Infra,Video Search,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0117,7,"Internet Search, Browser & Deep Research",RESEARCH,Browser/Research Agents,Browser Agent,yes,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0118,7,"Internet Search, Browser & Deep Research",RESEARCH,Browser/Research Agents,URL Analyzer,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0119,7,"Internet Search, Browser & Deep Research",RESEARCH,Browser/Research Agents,Research Agent,yes,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0120,7,"Internet Search, Browser & Deep Research",RESEARCH,Browser/Research Agents,Source Verification,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0121,7,"Internet Search, Browser & Deep Research",RESEARCH,Browser/Research Agents,Evidence Engine,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0122,7,"Internet Search, Browser & Deep Research",RESEARCH,Browser/Research Agents,Citation Engine,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0123,7,"Internet Search, Browser & Deep Research",RESEARCH,Browser/Research Agents,Contradiction Detector,,,yes,,,yes,Phase 6,Brave/Bing/Google CSE/Wolfram API keys (DuckDuckGo needs none),smoke-tested,See phase acceptance gate in master spec,DONE
R0124,8,Core Agent Framework,AGENT,Agent Primitives,Role,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0125,8,Core Agent Framework,AGENT,Agent Primitives,Instructions,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0126,8,Core Agent Framework,AGENT,Agent Primitives,Memory,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0127,8,Core Agent Framework,AGENT,Agent Primitives,Knowledge,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0128,8,Core Agent Framework,AGENT,Agent Primitives,Tools,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0129,8,Core Agent Framework,AGENT,Agent Primitives,Model,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0130,8,Core Agent Framework,AGENT,Agent Primitives,Permissions,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0131,8,Core Agent Framework,AGENT,Agent Primitives,Goals,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0132,8,Core Agent Framework,AGENT,Agent Primitives,Tasks,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0133,8,Core Agent Framework,AGENT,Agent Primitives,KPIs,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0134,8,Core Agent Framework,AGENT,Agent Primitives,Escalation,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0135,8,Core Agent Framework,AGENT,Agent Primitives,Output Rules,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0136,8,Core Agent Framework,AGENT,Agent Infra,Agent-to-agent communication,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0137,8,Core Agent Framework,AGENT,Agent Infra,Task Manager,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0138,8,Core Agent Framework,AGENT,Agent Infra,Agent Scheduler,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0139,8,Core Agent Framework,AGENT,Agent Infra,Agent Message Bus,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0140,8,Core Agent Framework,AGENT,Agent Infra,Agent Permissions,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0141,8,Core Agent Framework,AGENT,Agent Infra,Agent Lifecycle,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0142,8,Core Agent Framework,AGENT,Agent Infra,Agent State,yes,,yes,,,,Phase 7,,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0143,9,Expert Departments & AI Company,BUSINESS,Departments,Executive,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0144,9,Expert Departments & AI Company,BUSINESS,Departments,Strategy,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0145,9,Expert Departments & AI Company,BUSINESS,Departments,Marketing,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0146,9,Expert Departments & AI Company,BUSINESS,Departments,Sales,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0147,9,Expert Departments & AI Company,BUSINESS,Departments,Creative,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0148,9,Expert Departments & AI Company,BUSINESS,Departments,Technology,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0149,9,Expert Departments & AI Company,BUSINESS,Departments,Finance,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0150,9,Expert Departments & AI Company,BUSINESS,Departments,Operations,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0151,9,Expert Departments & AI Company,BUSINESS,Departments,Product,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0152,9,Expert Departments & AI Company,BUSINESS,Departments,Customer Experience,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0153,9,Expert Departments & AI Company,BUSINESS,Departments,HR,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0154,9,Expert Departments & AI Company,BUSINESS,Departments,Security,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0155,9,Expert Departments & AI Company,BUSINESS,Departments,Analytics,,,yes,yes,,,Phase 8,,not tested,See phase acceptance gate in master spec,MINIMAL
R0156,10,Software Factory,SOFTWARE,SDLC Pipeline,Requirements,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
